Index,Values
7866,0
6186,1
29590,2
431,3
78321,4
1749,5
5699,6
78605,7
2859,8
41401,9
72989,10
49121,11
51881,12
82100,13
29570,14
V717,15
25082,16
5679,17
389,18
4139,19
78097,20
59971,21
49122,22
7906,23
6826,24
71536,25
60001,26
30391,27
7851,28
4439,29
78079,30
4280,31
486,32
29644,33
59970,34
5781,35
78009,36
3842,37
82021,38
73313,39
78900,40
4241,41
99673,42
311,43
4359,44
78720,45
2512,46
43310,47
2536,48
5770,49
78650,50
44422,51
4111,52
42731,53
82009,54
78701,55
51884,56
27651,57
5990,58
5789,59
5849,60
53550,61
78702,62
7840,63
27700,64
72888,65
5109,66
4417,67
7862,68
V553,69
29620,70
7802,71
42732,72
44289,73
71945,74
71595,75
78099,76
99811,77
4589,78
25080,79
29680,80
V5489,81
V5401,82
71511,83
7295,84
41071,85
71535,86
57510,87
78906,88
5715,89
1623,90
78060,91
71596,92
5762,93
8248,94
43491,95
99642,96
20280,97
99664,98
78039,99
8082,100
29534,101
45341,102
71946,103
99676,104
7804,105
42823,106
78959,107
79902,108
78609,109
6084,110
78903,111
72981,112
78652,113
V5789,114
41011,115
5939,116
6271,117
8208,118
4821,119
2989,120
29041,121
49391,122
60000,123
845,124
5589,125
55321,126
5920,127
60784,128
25013,129
34590,130
5184,131
2800,132
78791,133
28860,134
81220,135
2761,136
E8889,137
49322,138
25070,139
734,140
57420,141
78909,142
57512,143
29624,144
7873,145
29643,146
4263,147
5722,148
78905,149
8054,150
430,151
78939,152
5750,153
99883,154
42821,155
29530,156
7812,157
7821,158
6823,159
25000,160
42820,161
V552,162
29663,163
6079,164
1519,165
1889,166
82301,167
79431,168
4019,169
6827,170
3241,171
5070,172
41400,173
70703,174
36816,175
6205,176
8730,177
5693,178
56400,179
7820,180
9651,181
2113,182
29574,183
7242,184
586,185
5119,186
78659,187
5100,188
56942,189
V571,190
4414,191
99677,192
45939,193
9596,194
99665,195
8052,196
42781,197
4599,198
3558,199
5609,200
6185,201
78930,202
82382,203
71591,204
78904,205
6824,206
44020,207
7234,208
9961,209
41519,210
920,211
49392,212
55090,213
2948,214
41021,215
5780,216
5712,217
78703,218
7863,219
1550,220
5728,221
6184,222
V5842,223
5856,224
55010,225
99672,226
9974,227
7842,228
3570,229
7245,230
2767,231
78194,232
40391,233
73390,234
99682,235
436,236
V7181,237
82120,238
4829,239
78651,240
27650,241
4279,242
59010,243
185,244
6829,245
72402,246
42831,247
4239,248
2930,249
5185,250
5362,251
29189,252
4580,253
8220,254
72210,255
57470,256
55221,257
99662,258
29042,259
99649,260
43490,261
1629,262
95901,263
2394,264
83101,265
1540,266
51882,267
4321,268
496,269
56211,270
44021,271
29633,272
78829,273
85186,274
62210,275
71515,276
81311,277
42789,278
1844,279
29664,280
1975,281
99769,282
78902,283
25020,284
7351,285
1890,286
44022,287
81342,288
7847,289
42843,290
9980,291
1950,292
25002,293
2127,294
2309,295
485,296
4538,297
9691,298
2910,299
28262,300
57450,301
61889,302
7837,303
99674,304
566,305
2766,306
7850,307
4423,308
1892,309
5249,310
71598,311
3489,312
2370,313
33819,314
56081,315
4329,316
7823,317
5307,318
8911,319
4240,320
9222,321
71516,322
45829,323
40301,324
3682,325
71690,326
2440,327
9070,328
7993,329
29634,330
35,331
1532,332
99859,333
1977,334
29689,335
7197,336
94532,337
41091,338
78820,339
70709,340
56949,341
78933,342
70719,343
5691,344
5960,345
71106,346
3383,347
5758,348
51181,349
9975,350
4010,351
4660,352
3310,353
27542,354
29653,355
99832,356
78559,357
81221,358
1985,359
55329,360
30390,361
7824,362
7019,363
70715,364
5552,365
2851,366
1541,367
8910,368
3315,369
3449,370
9916,371
6110,372
79092,373
49390,374
70707,375
72610,376
73639,377
41041,378
99601,379
5559,380
80502,381
41081,382
7291,383
9779,384
82101,385
59780,386
7231,387
1610,388
82525,389
56039,390
28800,391
1579,392
72887,393
27801,394
23875,395
30011,396
29592,397
29690,398
6825,399
2189,400
5272,401
99604,402
1625,403
96500,404
7211,405
81344,406
2819,407
V5811,408
55229,409
2352,410
73028,411
78901,412
71615,413
3079,414
81301,415
53200,416
56981,417
20400,418
4149,419
81200,420
53020,421
51883,422
5120,423
47831,424
83500,425
1534,426
78907,427
42833,428
99667,429
2351,430
37991,431
48242,432
4940,433
5320,434
99590,435
34510,436
99645,437
7905,438
7366,439
72271,440
2809,441
57430,442
45340,443
99666,444
85180,445
6821,446
5761,447
1830,448
30300,449
88102,450
44481,451
1744,452
7213,453
1820,454
65961,455
7921,456
5601,457
51889,458
5959,459
8602,460
4539,461
34290,462
29630,463
29654,464
7854,465
44101,466
99831,467
9663,468
9599,469
7140,470
25012,471
71696,472
4271,473
33182,474
25092,475
30420,476
4871,477
7384,478
8180,479
47822,480
71650,481
40591,482
57400,483
99592,484
94323,485
7079,486
25083,487
43810,488
29580,489
1533,490
30490,491
6179,492
51911,493
99527,494
V579,495
515,496
8244,497
61804,498
5224,499
4830,500
73342,501
7098,502
45342,503
1912,504
20500,505
8900,506
2760,507
52801,508
34830,509
61802,510
3320,511
68110,512
30400,513
85401,514
7220,515
7813,516
5121,517
5198,518
92401,519
56969,520
71942,521
2395,522
74761,523
99641,524
8246,525
1539,526
7845,527
85,528
85185,529
73349,530
5921,531
8404,532
80701,533
99681,534
2768,535
4373,536
27702,537
79430,538
7907,539
59080,540
37601,541
43301,542
8209,543
4413,544
7881,545
340,546
78607,547
56729,548
70714,549
81400,550
1982,551
2875,552
30301,553
53011,554
7248,555
2411,556
9951,557
88,558
6822,559
6820,560
2920,561
6191,562
71531,563
85302,564
5409,565
42822,566
29181,567
85229,568
99684,569
5779,570
8731,571
82020,572
44023,573
9986,574
29500,575
68100,576
V443,577
4168,578
56089,579
6259,580
79439,581
79029,582
99762,583
2252,584
20410,585
8080,586
30500,587
28260,588
V719,589
3811,590
V580,591
4739,592
481,593
29532,594
4928,595
20300,596
85221,597
2949,598
81201,599
7991,600
71590,601
8920,602
V5883,603
72141,604
85220,605
1888,606
5180,607
7241,608
36846,609
37313,610
4275,611
57421,612
135,613
79989,614
4251,615
40401,616
3843,617
53019,618
6238,619
60886,620
99812,621
45821,622
20080,623
4260,624
81000,625
24220,626
9726,627
48241,628
20281,629
70704,630
4401,631
3521,632
3849,633
64893,634
72400,635
2762,636
5969,637
92411,638
V560,639
71941,640
5934,641
81611,642
3369,643
41402,644
380,645
80222,646
5966,647
30471,648
25003,649
49321,650
7244,651
78729,652
57480,653
56213,654
4411,655
56212,656
8500,657
4292,658
9694,659
1520,660
56962,661
2841,662
V221,663
80226,664
5941,665
44389,666
53081,667
7901,668
53783,669
72401,670
2967,671
6850,672
90,673
30483,674
30401,675
80501,676
72992,677
25081,678
57410,679
4412,680
29652,681
9212,682
28489,683
5400,684
73382,685
60091,686
2900,687
