Index,Values
PHY390922,0
PHY318495,1
PHY372395,2
PHY369659,3
PHY379376,4
PHY402711,5
PHY412314,6
PHY346286,7
PHY385030,8
PHY355604,9
PHY397979,10
PHY329774,11
PHY363584,12
PHY382905,13
PHY432797,14
PHY401860,15
PHY377952,16
PHY398500,17
PHY432444,18
PHY391553,19
PHY326399,20
PHY375861,21
PHY353046,22
PHY378170,23
PHY360447,24
PHY433429,25
PHY393448,26
PHY338268,27
PHY340627,28
PHY422134,29
PHY317143,30
PHY343397,31
PHY372492,32
PHY341192,33
PHY411541,34
PHY318943,35
PHY326549,36
PHY340149,37
PHY332933,38
PHY317931,39
PHY379283,40
PHY409386,41
PHY421282,42
PHY351641,43
PHY433827,44
PHY389706,45
PHY414697,46
PHY354535,47
PHY323517,48
PHY353579,49
PHY400539,50
PHY369014,51
PHY322521,52
PHY411732,53
PHY418617,54
PHY353156,55
PHY320034,56
PHY426727,57
PHY398509,58
PHY399849,59
PHY360494,60
PHY361948,61
PHY418082,62
PHY327526,63
PHY367850,64
PHY433322,65
PHY397940,66
PHY397726,67
PHY380967,68
PHY401339,69
PHY365755,70
PHY338652,71
PHY426681,72
PHY372965,73
PHY408203,74
PHY400808,75
PHY367197,76
PHY403563,77
PHY337074,78
PHY365747,79
PHY419037,80
PHY404462,81
PHY333406,82
PHY380133,83
PHY404798,84
PHY352488,85
PHY424317,86
PHY362864,87
PHY351542,88
PHY422690,89
PHY311469,90
PHY407489,91
PHY328529,92
PHY350844,93
PHY321109,94
PHY384992,95
PHY425554,96
PHY327409,97
PHY370193,98
PHY424985,99
PHY317994,100
PHY320108,101
PHY385479,102
PHY400550,103
PHY348953,104
PHY340094,105
PHY429938,106
PHY356104,107
PHY342256,108
PHY420636,109
PHY320706,110
PHY312157,111
PHY392289,112
PHY332516,113
PHY428353,114
PHY348774,115
PHY350682,116
PHY377242,117
PHY327234,118
PHY316253,119
PHY314256,120
PHY320788,121
PHY408086,122
PHY400274,123
PHY357512,124
PHY363463,125
PHY393872,126
PHY317127,127
PHY358810,128
PHY332645,129
PHY391371,130
PHY315746,131
PHY329415,132
PHY404243,133
PHY319538,134
PHY409070,135
PHY415986,136
PHY317626,137
PHY370837,138
PHY432049,139
PHY384085,140
PHY429828,141
PHY424100,142
PHY329244,143
PHY345210,144
PHY346389,145
PHY319533,146
PHY401967,147
PHY430552,148
PHY409418,149
PHY332294,150
PHY428454,151
PHY340136,152
PHY339670,153
PHY386077,154
PHY357901,155
PHY416959,156
PHY322218,157
PHY349698,158
PHY422505,159
PHY334630,160
PHY422540,161
PHY349313,162
PHY311846,163
PHY315530,164
PHY413093,165
PHY358286,166
PHY403999,167
PHY383872,168
PHY425031,169
PHY347859,170
PHY359426,171
PHY415715,172
PHY420511,173
PHY333863,174
PHY362910,175
PHY348650,176
PHY424593,177
PHY385561,178
PHY341560,179
PHY359952,180
PHY382240,181
PHY401886,182
PHY321106,183
PHY415660,184
PHY426305,185
PHY353732,186
PHY313599,187
PHY324741,188
PHY339930,189
PHY419203,190
PHY319099,191
PHY328365,192
PHY361255,193
PHY433220,194
PHY343719,195
PHY333913,196
PHY313358,197
PHY387142,198
PHY340285,199
PHY372290,200
PHY313567,201
PHY364123,202
PHY356281,203
PHY391701,204
PHY319751,205
PHY361453,206
PHY325730,207
PHY344555,208
PHY382517,209
PHY326162,210
PHY323928,211
PHY322814,212
PHY363886,213
PHY421232,214
PHY390574,215
PHY326288,216
PHY386052,217
PHY432628,218
PHY383279,219
PHY419159,220
PHY315886,221
PHY368851,222
PHY385344,223
PHY431809,224
PHY398913,225
PHY335890,226
PHY422728,227
PHY349113,228
PHY387286,229
PHY389710,230
PHY379586,231
PHY338047,232
PHY431177,233
PHY397162,234
PHY403345,235
PHY355567,236
PHY372635,237
PHY420795,238
PHY342555,239
PHY360771,240
PHY334685,241
PHY321215,242
PHY355989,243
PHY376288,244
PHY420319,245
PHY392693,246
PHY311800,247
PHY342939,248
PHY394134,249
PHY321848,250
PHY345716,251
PHY328218,252
PHY361355,253
PHY322937,254
PHY347540,255
PHY387477,256
