file,species
11447,Bird_of_paradise
7946,Bird_of_paradise
15420,Bird_of_paradise
5229,Bird_of_paradise
3217,Balloon_Flower
9113,Bird_of_paradise
18427,Bird_of_paradise
9712,Bird_of_paradise
147,Bird_of_paradise
2597,Balloon_Flower
15694,Bird_of_paradise
16233,Balloon_Flower
15743,Bird_of_paradise
6941,Balloon_Flower
18193,Bird_of_paradise
15742,Bird_of_paradise
1591,Bird_of_paradise
12999,Bird_of_paradise
15570,Bird_of_paradise
14033,Bird_of_paradise
17338,Bird_of_paradise
2083,Balloon_Flower
3248,Balloon_Flower
3195,Bird_of_paradise
1656,Balloon_Flower
219,Bird_of_paradise
2855,Balloon_Flower
2722,Balloon_Flower
14358,Balloon_Flower
5561,Bird_of_paradise
1652,Balloon_Flower
2047,Balloon_Flower
14308,Balloon_Flower
5945,Bird_of_paradise
3285,Bird_of_paradise
16858,Bird_of_paradise
8215,Bird_of_paradise
12316,Balloon_Flower
11092,Bird_of_paradise
16694,Balloon_Flower
1255,Bird_of_paradise
11279,Balloon_Flower
17544,Balloon_Flower
6540,Bird_of_paradise
9353,Balloon_Flower
6521,Balloon_Flower
9161,Bird_of_paradise
5181,Bird_of_paradise
13244,Balloon_Flower
6811,Balloon_Flower
1132,Bird_of_paradise
2048,Balloon_Flower
3498,Balloon_Flower
6302,Balloon_Flower
2434,Balloon_Flower
2455,Balloon_Flower
14738,Balloon_Flower
3261,Balloon_Flower
16535,Bird_of_paradise
3691,Bird_of_paradise
11870,Balloon_Flower
11909,Balloon_Flower
12400,Balloon_Flower
4486,Bird_of_paradise
16286,Balloon_Flower
4472,Balloon_Flower
10490,Bird_of_paradise
2465,Balloon_Flower
15020,Bird_of_paradise
4828,Bird_of_paradise
15447,Balloon_Flower
10532,Bird_of_paradise
11137,Balloon_Flower
9442,Bird_of_paradise
4107,Bird_of_paradise
6280,Bird_of_paradise
7400,Balloon_Flower
16768,Bird_of_paradise
18506,Bird_of_paradise
2842,Balloon_Flower
5052,Bird_of_paradise
17131,Bird_of_paradise
2304,Balloon_Flower
18472,Bird_of_paradise
7847,Balloon_Flower
4791,Bird_of_paradise
12271,Bird_of_paradise
11067,Balloon_Flower
10962,Bird_of_paradise
17495,Balloon_Flower
11470,Bird_of_paradise
3982,Bird_of_paradise
10290,Balloon_Flower
16215,Bird_of_paradise
14149,Balloon_Flower
11457,Bird_of_paradise
10614,Bird_of_paradise
3779,Balloon_Flower
5349,Bird_of_paradise
13352,Bird_of_paradise
17223,Balloon_Flower
14178,Balloon_Flower
10459,Balloon_Flower
14068,Bird_of_paradise
13561,Bird_of_paradise
6020,Bird_of_paradise
4082,Balloon_Flower
9651,Bird_of_paradise
7917,Balloon_Flower
8501,Bird_of_paradise
5935,Bird_of_paradise
13122,Bird_of_paradise
10603,Balloon_Flower
11207,Bird_of_paradise
10591,Bird_of_paradise
4839,Bird_of_paradise
5629,Bird_of_paradise
16960,Bird_of_paradise
7861,Balloon_Flower
13359,Bird_of_paradise
16421,Balloon_Flower
4793,Bird_of_paradise
4381,Bird_of_paradise
6018,Bird_of_paradise
15085,Bird_of_paradise
2984,Balloon_Flower
17716,Bird_of_paradise
11506,Bird_of_paradise
13520,Bird_of_paradise
14272,Bird_of_paradise
10514,Balloon_Flower
2844,Balloon_Flower
5624,Bird_of_paradise
16539,Balloon_Flower
12060,Bird_of_paradise
12847,Bird_of_paradise
7728,Balloon_Flower
8148,Balloon_Flower
11992,Balloon_Flower
17335,Balloon_Flower
1658,Balloon_Flower
1252,Bird_of_paradise
1995,Balloon_Flower
17756,Balloon_Flower
11857,Balloon_Flower
7806,Bird_of_paradise
5186,Bird_of_paradise
16611,Balloon_Flower
1287,Bird_of_paradise
13993,Balloon_Flower
11547,Bird_of_paradise
4396,Balloon_Flower
11945,Balloon_Flower
9036,Balloon_Flower
7328,Balloon_Flower
2865,Balloon_Flower
10555,Balloon_Flower
18292,Balloon_Flower
10443,Balloon_Flower
16290,Balloon_Flower
12146,Bird_of_paradise
2040,Balloon_Flower
11858,Balloon_Flower
6449,Bird_of_paradise
5545,Bird_of_paradise
12652,Balloon_Flower
4009,Balloon_Flower
11868,Balloon_Flower
14493,Bird_of_paradise
11135,Bird_of_paradise
2031,Balloon_Flower
17061,Balloon_Flower
12557,Bird_of_paradise
1299,Bird_of_paradise
2433,Balloon_Flower
14123,Bird_of_paradise
1421,Bird_of_paradise
14030,Balloon_Flower
4440,Balloon_Flower
8842,Bird_of_paradise
9854,Balloon_Flower
1642,Balloon_Flower
13015,Bird_of_paradise
7703,Balloon_Flower
5214,Bird_of_paradise
8443,Bird_of_paradise
4427,Balloon_Flower
10416,Balloon_Flower
14004,Balloon_Flower
17633,Balloon_Flower
16749,Balloon_Flower
14875,Balloon_Flower
16030,Bird_of_paradise
7237,Balloon_Flower
2294,Balloon_Flower
10585,Balloon_Flower
16188,Balloon_Flower
8254,Balloon_Flower
8827,Bird_of_paradise
11385,Bird_of_paradise
11420,Bird_of_paradise
15129,Bird_of_paradise
9635,Balloon_Flower
17518,Balloon_Flower
